timestamp,actual_mean,actual_std,pred_mean,mae,max_error,bias,hour,dayofweek,date
2016-10-05 11:00:00,618.8690398591549,1426.406373260512,611.6395154906635,49.35390242686685,1859.2457816786816,7.2295243684914015,11,2,2016-10-05
2016-10-05 12:00:00,622.1387933051445,1434.7180264464446,620.7475212476394,47.43982703407253,2636.6625907500425,1.391272057505116,12,2,2016-10-05
2016-10-05 13:00:00,628.1979191549295,1442.9709600244635,625.2599304436695,41.87306961506578,1920.7924500658974,2.9379887112600738,13,2,2016-10-05
2016-10-05 14:00:00,636.4062630877193,1462.8143333666235,626.3408904880944,43.12986052038438,8237.943466613391,10.065372599624888,14,2,2016-10-05
2016-10-05 15:00:00,621.8984395104895,1426.0612004955935,632.1000625336325,50.51399565744449,6826.579128349494,-10.201623023142963,15,2,2016-10-05
2016-10-05 16:00:00,607.6625046057222,1385.2891388929172,614.7360256601947,44.02301961437684,4977.2536394113695,-7.073521054472436,16,2,2016-10-05
2016-10-05 17:00:00,576.2473098326359,1302.428422533673,595.2568316490216,45.92757568197855,3374.7423192524802,-19.009521816385654,17,2,2016-10-05
2016-10-05 18:00:00,562.0050174581005,1291.6789445382153,569.9428837329915,41.496608490337124,2644.9702658793767,-7.937866274890896,18,2,2016-10-05
2016-10-05 19:00:00,547.9391649159663,1258.9832857142417,559.5770049393416,41.08922614055323,3900.129868006194,-11.637840023375228,19,2,2016-10-05
2016-10-05 20:00:00,537.6974721174004,1263.4464460997183,538.7884799612114,39.288534387125495,2056.449551221598,-1.091007843810875,20,2,2016-10-05
2016-10-05 21:00:00,520.7232770090845,1238.872600889033,527.7790849032289,35.39170788951992,1292.3820963969501,-7.055807894144243,21,2,2016-10-05
2016-10-05 22:00:00,501.4297534542917,1214.4200454733898,509.1076700695997,44.89191497630464,2666.847624203526,-7.677916615308018,22,2,2016-10-05
2016-10-05 23:00:00,473.9592390516039,1173.569432415692,480.3823042280899,39.90524419933627,1537.4525057808592,-6.423065176485923,23,2,2016-10-05
2016-10-06 00:00:00,468.3587967224547,1166.21856579976,469.3780311505598,42.77087816487671,2279.0691147283287,-1.0192344281051218,0,3,2016-10-06
2016-10-06 01:00:00,450.305870013947,1142.505444618439,459.6256112671717,34.79714928101727,1217.9475408058108,-9.319741253224654,1,3,2016-10-06
2016-10-06 02:00:00,442.9942516039051,1138.4283143754576,449.16474417758116,34.41163844564301,5385.193286036119,-6.170492573675947,2,3,2016-10-06
2016-10-06 03:00:00,449.20264546722456,1176.5709807172254,444.386747911224,41.91906505610959,8462.030895993239,4.8158975560005395,3,3,2016-10-06
2016-10-06 04:00:00,447.7902477684798,1181.4860024999,450.2775858682529,38.33191236119928,2722.26620422215,-2.4873380997731735,4,3,2016-10-06
2016-10-06 05:00:00,467.5296509065551,1215.2872493842972,466.8703538551511,45.42619294431385,3358.854167473469,0.65929705140398,5,3,2016-10-06
2016-10-06 06:00:00,502.187936217725,1258.5632948197717,503.67946009055566,56.58757774700417,7484.479533395657,-1.4915238728306335,6,3,2016-10-06
2016-10-06 07:00:00,543.6869106219427,1315.304174208646,530.982377057804,62.86741424787098,3636.86171491646,12.704533564138648,7,3,2016-10-06
2016-10-06 08:00:00,569.8112728421053,1335.604219166172,564.4724116432084,60.84839105769809,4436.2785213361485,5.338861198896893,8,3,2016-10-06
2016-10-06 09:00:00,574.0151972477064,1332.1961013340315,587.703148168845,53.55196741365971,2322.203239072826,-13.687950921138581,9,3,2016-10-06
2016-10-06 10:00:00,577.1612976612332,1317.4116322759107,592.7898923945819,52.641120960713074,3551.2286364288657,-15.628594733348763,10,3,2016-10-06
2016-10-06 11:00:00,593.048335106383,1355.8849621367276,597.0568785968899,54.123745911968825,4093.523862976049,-4.008543490506917,11,3,2016-10-06
2016-10-06 12:00:00,586.7469943931866,1357.9871619590645,603.0726263667008,57.76836618545449,4285.952331064892,-16.325631973514056,12,3,2016-10-06
2016-10-06 13:00:00,608.0282065770863,1402.731880332815,599.6589824877543,56.84971024611687,4246.335874685507,8.369224089332016,13,3,2016-10-06
2016-10-06 14:00:00,607.8584538353272,1404.3665144962602,610.897804737227,46.221241494607895,3169.254245183527,-3.0393509018997102,14,3,2016-10-06
2016-10-06 15:00:00,610.5521215287517,1408.9691442248122,610.0164027766225,45.97631366626275,2856.811481378113,0.5357187521291825,15,3,2016-10-06
