feature,importance
building_id,6551
lag_1h,3515
hour,2809
lag_24h,2566
lag_3h,1961
lag_72h,1191
lag_6h,1049
rolling_std_24h,1039
rolling_mean_24h,1027
air_temperature,1020
dayofweek,845
rolling_min_24h,725
rolling_max_24h,498
rolling_mean_168h,487
site_id,442
HDD,358
month,305
CDD,158
is_weekend,99
is_holiday,51
